inventory_id,store_id,product_id,current_stock,warehouse_stock,reorder_level,last_updated
I00258,S036,P0139,311,302,77,2026-07-07T17:17:32.611597
I00259,S004,P0088,162,1639,78,2026-07-07T17:17:32.611597
I00260,S025,P0093,176,1750,89,2026-07-07T17:17:32.611597
I00261,S048,P0348,495,1715,58,2026-07-07T17:17:32.611597
I00262,S035,P0283,304,1906,53,2026-07-07T17:17:32.611597
I00263,S026,P0245,303,361,56,2026-07-07T17:17:32.611597
I00264,S017,P0005,351,1151,91,2026-07-07T17:17:32.611597
I00265,S046,P0080,336,358,21,2026-07-07T17:17:32.611597
I00266,S010,P0194,290,1606,86,2026-07-07T17:17:32.611597
I00267,S018,P0028,470,1585,39,2026-07-07T17:17:32.611597
I00268,S041,P0499,189,1548,58,2026-07-07T17:17:32.611597
I00269,S050,P0128,347,1346,63,2026-07-07T17:17:32.611597
I00270,S027,P0362,234,474,82,2026-07-07T17:17:32.611597
I00271,S029,P0182,408,1059,78,2026-07-07T17:17:32.611597
I00272,S033,P0147,141,976,69,2026-07-07T17:17:32.611597
I00273,S034,P0483,367,1905,49,2026-07-07T17:17:32.611597
I00274,S015,P0157,325,1857,25,2026-07-07T17:17:32.611597
I00275,S006,P0486,156,932,21,2026-07-07T17:17:32.611597
I00276,S050,P0161,432,284,31,2026-07-07T17:17:32.611597
I00277,S041,P0041,39,1594,37,2026-07-07T17:17:32.611597
I00278,S016,P0484,47,438,30,2026-07-07T17:17:32.611597
I00279,S037,P0030,43,1622,65,2026-07-07T17:17:32.611597
I00280,S019,P0284,475,1109,22,2026-07-07T17:17:32.611597
I00281,S001,P0493,485,968,21,2026-07-07T17:17:32.611597
I00282,S044,P0261,477,1596,82,2026-07-07T17:17:32.611597
I00283,S009,P0246,254,1154,56,2026-07-07T17:17:32.611597
I00284,S044,P0347,454,1190,82,2026-07-07T17:17:32.611597
I00285,S045,P0064,207,128,62,2026-07-07T17:17:32.611597
I00286,S040,P0098,466,1802,45,2026-07-07T17:17:32.611597
I00287,S048,P0004,365,970,37,2026-07-07T17:17:32.611597
I00288,S045,P0274,383,806,64,2026-07-07T17:17:32.611597
I00289,S016,P0379,338,1985,99,2026-07-07T17:17:32.611597
I00290,S034,P0351,311,186,74,2026-07-07T17:17:32.611597
I00291,S039,P0230,493,445,87,2026-07-07T17:17:32.611597
I00292,S044,P0477,451,1664,53,2026-07-07T17:17:32.611597
I00293,S034,P0463,115,458,45,2026-07-07T17:17:32.611597
I00294,S005,P0188,429,373,34,2026-07-07T17:17:32.611597
I00295,S033,P0181,487,204,59,2026-07-07T17:17:32.611597
I00296,S028,P0254,194,449,100,2026-07-07T17:17:32.611597
I00297,S024,P0497,57,792,28,2026-07-07T17:17:32.611597
I00298,S044,P0128,425,1204,63,2026-07-07T17:17:32.611597
I00299,S050,P0440,60,694,45,2026-07-07T17:17:32.611597
I00300,S020,P0248,150,642,42,2026-07-07T17:17:32.611597
I00301,S014,P0002,377,1392,70,2026-07-07T17:17:32.611597
I00302,S037,P0202,111,1990,24,2026-07-07T17:17:32.611597
I00303,S020,P0476,477,1416,67,2026-07-07T17:17:32.611597
I00304,S033,P0423,457,172,78,2026-07-07T17:17:32.611597
I00305,S030,P0457,316,1837,58,2026-07-07T17:17:32.611597
I00306,S032,P0030,182,112,65,2026-07-07T17:17:32.611597
I00307,S040,P0236,168,711,24,2026-07-07T17:17:32.611597
I00308,S023,P0055,2,816,28,2026-07-07T17:17:32.611597
I00309,S047,P0096,205,826,83,2026-07-07T17:17:32.611597
I00310,S001,P0052,220,1107,97,2026-07-07T17:17:32.611597
I00311,S013,P0044,270,1153,69,2026-07-07T17:17:32.611597
I00312,S010,P0211,63,1970,38,2026-07-07T17:17:32.611597
I00313,S032,P0004,79,1675,37,2026-07-07T17:17:32.611597
I00314,S043,P0129,115,1063,72,2026-07-07T17:17:32.611597
I00315,S026,P0192,153,846,44,2026-07-07T17:17:32.611597
I00316,S028,P0457,93,1198,58,2026-07-07T17:17:32.611597
I00317,S018,P0056,224,1444,55,2026-07-07T17:17:32.611597
I00318,S029,P0083,71,824,26,2026-07-07T17:17:32.611597
I00319,S048,P0223,2,835,94,2026-07-07T17:17:32.611597
I00320,S046,P0102,56,488,100,2026-07-07T17:17:32.611597
I00321,S019,P0021,68,908,48,2026-07-07T17:17:32.611597
I00322,S027,P0381,169,1945,36,2026-07-07T17:17:32.611597
I00323,S003,P0083,341,507,26,2026-07-07T17:17:32.611597
I00324,S031,P0492,340,644,49,2026-07-07T17:17:32.611597
I00325,S008,P0216,250,1226,91,2026-07-07T17:17:32.611597
I00326,S032,P0410,349,1562,98,2026-07-07T17:17:32.611597
I00327,S009,P0167,384,1665,76,2026-07-07T17:17:32.611597
I00328,S050,P0452,204,1127,85,2026-07-07T17:17:32.611597
I00329,S047,P0473,379,1826,47,2026-07-07T17:17:32.611597
I00330,S025,P0068,56,320,88,2026-07-07T17:17:32.611597
I00331,S002,P0065,79,804,62,2026-07-07T17:17:32.611597
I00332,S033,P0007,392,1501,66,2026-07-07T17:17:32.611597
I00333,S016,P0027,347,1799,60,2026-07-07T17:17:32.611597
I00334,S022,P0220,499,1322,51,2026-07-07T17:17:32.611597
I00335,S048,P0005,222,1083,91,2026-07-07T17:17:32.611597
I00336,S019,P0145,248,269,58,2026-07-07T17:17:32.611597
I00337,S049,P0220,126,1364,51,2026-07-07T17:17:32.611597
I00338,S010,P0374,261,482,23,2026-07-07T17:17:32.611597
I00339,S016,P0144,392,335,57,2026-07-07T17:17:32.611597
I00340,S017,P0359,126,1464,63,2026-07-07T17:17:32.611597
I00341,S028,P0102,242,1546,100,2026-07-07T17:17:32.611597
I00342,S007,P0359,373,1128,63,2026-07-07T17:17:32.611597
I00343,S040,P0093,96,1850,89,2026-07-07T17:17:32.611597
I00344,S038,P0323,324,404,64,2026-07-07T17:17:32.611597
I00345,S015,P0062,67,921,62,2026-07-07T17:17:32.611597
I00346,S003,P0141,98,399,82,2026-07-07T17:17:32.611597
I00347,S028,P0010,315,508,38,2026-07-07T17:17:32.611597
I00348,S006,P0443,26,878,29,2026-07-07T17:17:32.611597
I00349,S027,P0269,156,1533,32,2026-07-07T17:17:32.611597
I00350,S041,P0119,113,788,42,2026-07-07T17:17:32.611597
I00351,S028,P0246,31,1144,56,2026-07-07T17:17:32.611597
I00352,S028,P0330,26,723,61,2026-07-07T17:17:32.611597
I00353,S008,P0138,186,674,53,2026-07-07T17:17:32.611597
I00354,S023,P0365,214,605,82,2026-07-07T17:17:32.611597
I00355,S021,P0459,24,472,62,2026-07-07T17:17:32.611597
I00356,S003,P0001,26,1452,70,2026-07-07T17:17:32.611597
I00357,S048,P0165,108,684,75,2026-07-07T17:17:32.611597
I00358,S031,P0144,465,1342,57,2026-07-07T17:17:32.611597
I00359,S007,P0221,94,616,66,2026-07-07T17:17:32.611597
I00360,S032,P0187,171,723,28,2026-07-07T17:17:32.611597
I00361,S008,P0050,342,127,51,2026-07-07T17:17:32.611597
I00362,S044,P0283,394,1865,53,2026-07-07T17:17:32.611597
I00363,S009,P0170,184,1618,47,2026-07-07T17:17:32.611597
I00364,S024,P0381,398,1306,36,2026-07-07T17:17:32.611597
I00365,S034,P0310,190,587,50,2026-07-07T17:17:32.611597
I00366,S042,P0142,107,1296,20,2026-07-07T17:17:32.611597
I00367,S025,P0045,454,317,41,2026-07-07T17:17:32.611597
I00368,S009,P0323,380,1332,64,2026-07-07T17:17:32.611597
I00369,S008,P0022,300,1968,86,2026-07-07T17:17:32.611597
I00370,S042,P0419,97,495,64,2026-07-07T17:17:32.611597
I00371,S046,P0229,473,302,39,2026-07-07T17:17:32.611597
I00372,S005,P0483,279,1367,49,2026-07-07T17:17:32.611597
I00373,S022,P0155,371,1071,25,2026-07-07T17:17:32.611597
I00374,S049,P0104,273,1576,56,2026-07-07T17:17:32.611597
I00375,S010,P0023,65,492,59,2026-07-07T17:17:32.611597
I00376,S027,P0282,364,617,91,2026-07-07T17:17:32.611597
I00377,S049,P0437,433,1957,83,2026-07-07T17:17:32.611597
I00378,S036,P0500,177,1932,75,2026-07-07T17:17:32.611597
I00379,S024,P0230,322,1569,87,2026-07-07T17:17:32.611597
I00380,S008,P0467,223,238,74,2026-07-07T17:17:32.611597
I00381,S031,P0215,268,1131,95,2026-07-07T17:17:32.611597
I00382,S002,P0086,306,661,78,2026-07-07T17:17:32.611597
I00383,S045,P0496,66,693,45,2026-07-07T17:17:32.611597
I00384,S003,P0490,289,224,58,2026-07-07T17:17:32.611597
I00385,S045,P0098,379,1768,45,2026-07-07T17:17:32.611597
I00386,S026,P0254,350,1190,100,2026-07-07T17:17:32.611597
I00387,S033,P0498,38,438,79,2026-07-07T17:17:32.611597
I00388,S029,P0385,260,886,77,2026-07-07T17:17:32.611597
I00389,S036,P0400,199,920,77,2026-07-07T17:17:32.611597
I00390,S039,P0140,105,476,69,2026-07-07T17:17:32.611597
I00391,S001,P0082,292,546,98,2026-07-07T17:17:32.611597
I00392,S038,P0357,4,1900,34,2026-07-07T17:17:32.611597
I00393,S033,P0234,257,1549,49,2026-07-07T17:17:32.611597
I00394,S047,P0269,132,721,32,2026-07-07T17:17:32.611597
I00395,S015,P0152,362,649,41,2026-07-07T17:17:32.611597
I00396,S036,P0061,87,558,79,2026-07-07T17:17:32.611597
I00397,S003,P0274,121,697,64,2026-07-07T17:17:32.611597
I00398,S003,P0328,75,1909,100,2026-07-07T17:17:32.611597
I00399,S018,P0475,68,653,25,2026-07-07T17:17:32.611597
I00400,S004,P0329,127,1786,77,2026-07-07T17:17:32.611597
I00401,S014,P0274,59,102,64,2026-07-07T17:17:32.611597
I00402,S042,P0178,323,1339,74,2026-07-07T17:17:32.611597
I00403,S024,P0167,42,1544,76,2026-07-07T17:17:32.611597
I00404,S036,P0136,369,373,76,2026-07-07T17:17:32.611597
I00405,S027,P0460,313,703,29,2026-07-07T17:17:32.611597
I00406,S021,P0030,320,1771,65,2026-07-07T17:17:32.611597
I00407,S001,P0422,182,549,53,2026-07-07T17:17:32.611597
I00408,S047,P0495,143,461,59,2026-07-07T17:17:32.611597
I00409,S017,P0498,8,1200,79,2026-07-07T17:17:32.611597
I00410,S043,P0445,398,1698,27,2026-07-07T17:17:32.611597
I00411,S038,P0055,369,1627,28,2026-07-07T17:17:32.611597
I00412,S045,P0196,484,1439,86,2026-07-07T17:17:32.611597
I00413,S017,P0446,320,1399,27,2026-07-07T17:17:32.611597
I00414,S039,P0283,105,1772,53,2026-07-07T17:17:32.611597
I00415,S029,P0113,166,650,80,2026-07-07T17:17:32.611597
